Bedrooms,Bathrooms,Square Footage,Address,Price
"1
beds",1,"718
sq.ft.","811 S Lytle Street 205 Chicago, IL 60607","$239,000"
"2
beds",1,"900
sq.ft.","3950 N Lake Shore Drive 2209 Chicago, IL 60613","$229,900"
"4
beds",1,"1,328
sq.ft.","7815 S Emerald Avenue Chicago, IL 60620","$205,000"
"3
beds",2,"2,100
sq.ft.","8605 S Dorchester Avenue Chicago, IL 60619","$204,900"
"3
beds",2,"1,877
sq.ft.","734 E 42nd Street Chicago, IL 60653","$180,000"
"3
beds",2,"1,329
sq.ft.","9258 S Bishop Street Chicago, IL 60620","$179,900"
"1
beds",1,"850
sq.ft.","4624 N Commons Drive 104 Chicago, IL 60656","$169,900"
"2
beds",1,"1,000
sq.ft.","5515 S Hoyne Avenue Chicago, IL 60636","$169,900"
"2
beds",1,"500
sq.ft.","11345 S Ada Street Chicago, IL 60643","$160,000"
"3
beds",1,"1,566
sq.ft.","10304 S Prospect Avenue Chicago, IL 60643","$150,000"
"2
beds",1,"1,058
sq.ft.","5024 W Van Buren Street D Chicago, IL 60644","$149,900"
"3
beds",2,"1,248
sq.ft.","8439 S Ada Street Chicago, IL 60620","$139,900"
"3
beds",1,"861
sq.ft.","4743 W Fulton Street Chicago, IL 60644","$135,000"
"5
beds",4,"6,031
sq.ft.","2120 N Lincoln Park West 5-6 Chicago, IL 60614","$4,995,000"
"2
beds",2,"2,030
sq.ft.","800 N Michigan Avenue 2102 Chicago, IL 60611","$1,550,000"
"3
beds",3,"3,000
sq.ft.","2102 S May Street Chicago, IL 60608","$1,305,000"
"3
beds",2,"2,500
sq.ft.","1478 S Prairie Avenue L Chicago, IL 60605","$849,900"
"2
beds",2,"1,268
sq.ft.","234 W Polk Street 3002 Chicago, IL 60607","$765,000"
"2
beds",2,"1,165
sq.ft.","234 W Polk Street 2412 Chicago, IL 60607","$695,000"
"3
beds",2,"1,650
sq.ft.","645 W Bittersweet Place 1 Chicago, IL 60613","$655,000"
"2
beds",2,"1,111
sq.ft.","234 W Polk Street 2804 Chicago, IL 60607","$650,000"
"2
beds",2,"1,085
sq.ft.","234 W Polk Street 2810 Chicago, IL 60607","$625,000"
"4
beds",3,"2,500
sq.ft.","4530 N MAGNOLIA Avenue 3S Chicago, IL 60640","$619,000"
