bedrooms,bathrooms,square_footage,address,price
3,1,2100,"4726 N Winchester Avenue C Chicago, IL 60640",450000.0
3,2,2100,"3034 N Nagle Avenue Chicago, IL 60634",433000.0
2,2,1280,"565 W Quincy Street 711 Chicago, IL 60661",405000.0
2,2,1122,"1636 N WELLS Street 615 Chicago, IL 60614",389000.0
4,2,1200,"5817 W 64th Street Chicago, IL 60638",359900.0
2,2,821,"660 W Wayman Street 302B Chicago, IL 60661",350000.0
1,1,1049,"1350 W Fullerton Avenue 405 Chicago, IL 60614",350000.0
2,2,920,"1 E 8th Street 307 Chicago, IL 60605",339000.0
5,3,3780,"7240 S Fairfield Avenue Chicago, IL 60629",339000.0
2,1,900,"2574 W Lyndale Street 2 Chicago, IL 60647",329900.0
1,1,1080,"2303 S Michigan Avenue 208 Chicago, IL 60616",324900.0
2,2,1150,"555 W CORNELIA Avenue 1711 Chicago, IL 60657",300000.0
3,2,1257,"12507 S Tripp Avenue Alsip, IL 60803",290000.0
2,2,1300,"4178 S DREXEL Boulevard 2 Chicago, IL 60653",289000.0
5,3,1615,"8117 S Burnham Avenue Chicago, IL 60617",289000.0
1,1,700,"88 W Schiller Street 2907L Chicago, IL 60610",288800.0
4,3,1764,"3219 W 64th Street Chicago, IL 60629",264900.0
2,1,960,"7327 S Mozart Street Chicago, IL 60629",254000.0
2,2,1600,"6455 W Belle Plaine Avenue 410 Chicago, IL 60634",250000.0
3,2,2000,"7321 S South Shore Drive 8D Chicago, IL 60649",245000.0
1,1,848,"1560 N Sandburg Terrace 510 Chicago, IL 60610",225000.0
3,2,2000,"6833 N Kedzie Avenue 1516 Chicago, IL 60645",224900.0
4,2,1400,"1329 E 89th Place Chicago, IL 60619",219900.0
6,4,6234,"4550 S Michigan Avenue Chicago, IL 60653",219900.0
3,1,1700,"12837 S Green Street Chicago, IL 60643",205000.0
2,1,1200,"14204 S Eggleston Avenue Riverdale, IL 60827",199900.0
3,1,1131,"10035 S Merrill Avenue Chicago, IL 60617",190000.0
2,1,980,"6308 N Kedzie Avenue 2W Chicago, IL 60659",189900.0
4,1,1700,"8150 S Oglesby Avenue Chicago, IL 60617",185000.0
3,1,1200,"9606 S Eggleston Avenue Chicago, IL 60628",131000.0
3,3,3212,"4246 N Kimball Avenue Chicago, IL 60618",949000.0
3,2,2500,"2005 W Huron Street 1 Chicago, IL 60612",890000.0
2,2,1700,"1430 N La Salle Drive F1 Chicago, IL 60610",799000.0
4,4,2696,"847 W Ainslie Street 1W Chicago, IL 60640",799000.0
4,3,3100,"5542 W Byron Street Chicago, IL 60641",718800.0
3,2,2300,"1535 W Estes Avenue 3 Chicago, IL 60626",649900.0
4,3,2000,"2147 W Adams Street 1N Chicago, IL 60612",625000.0
3,3,2586,"7422 N Olcott Avenue Chicago, IL 60631",615000.0
3,2,2300,"1535 W Estes Avenue 1 Chicago, IL 60626",599900.0
2,3,2600,"4240 N Mcvicker Avenue Chicago, IL 60634",599500.0
5,3,3336,"657 N PINE Avenue Chicago, IL 60644",559999.0
2,2,1250,"2451 W Cortland Street 3 Chicago, IL 60647",558000.0
3,2,1800,"912 W Margate Terrace 2 Chicago, IL 60640",525000.0
2,1,1400,"523 W Belmont Avenue 2E Chicago, IL 60657",484900.0
3,2,1582,"7805 W Farragut Avenue Chicago, IL 60656",469500.0
3,2,1800,"3815 N Kedzie Avenue 3S Chicago, IL 60618",449900.0
2,2,1200,"1901 S Calumet Avenue 1803 Chicago, IL 60616",415000.0
2,2,1200,"2915 N Clybourn Avenue 310 Chicago, IL 60618",399900.0
2,2,1170,"222 N Columbus Drive 1502 Chicago, IL 60601",399000.0
2,2,1260,"1250 S Michigan Avenue 802 Chicago, IL 60605",389000.0
2,2,1300,"5 E 14th Place 806 Chicago, IL 60605",365000.0
2,1,914,"2403 N ORCHARD Street G Chicago, IL 60614",350000.0
2,1,1000,"4313 N Paulina Street 3 Chicago, IL 60613",299000.0
3,2,1396,"633 E Bowen Avenue 1E Chicago, IL 60653",299000.0
3,2,2210,"8816 S Constance Avenue Chicago, IL 60617",295000.0
3,2,1589,"8414 S King Drive Chicago, IL 60619",294900.0
1,1,842,"125 S Jefferson Street 2510 Chicago, IL 60661",275000.0
2,2,1200,"8646 W Berwyn Avenue 1N Chicago, IL 60656",275000.0
1,1,873,"211 E Ohio Street 1215 Chicago, IL 60611",274900.0
1,1,780,"30 E ELM Street 14E Chicago, IL 60611",265000.0
3,2,1400,"1520 E Marquette Road 2B Chicago, IL 60637",265000.0
2,1,975,"1515 W Pratt Boulevard 1 Chicago, IL 60626",259000.0
2,2,1150,"7604 W Lawrence Avenue 1B Harwood Heights, IL 60706",255000.0
1,1,750,"1212 N LaSalle Street 2407 Chicago, IL 60610",250000.0
2,1,891,"6403 S Lorel Avenue Chicago, IL 60638",249900.0
2,2,1054,"6525 N Nashville Avenue 501E Chicago, IL 60631",249000.0
1,1,795,"10 E Ontario Street 2304 Chicago, IL 60611",245000.0
2,1,835,"4334 N Dayton Street G Chicago, IL 60613",237000.0
1,1,1000,"5855 N Sheridan Road 9F Chicago, IL 60660",225000.0
2,1,1150,"6060 N RIDGE Avenue 4D Chicago, IL 60660",225000.0
3,2,1500,"5408 S Michigan Avenue 1S Chicago, IL 60615",225000.0
1,1,1050,"2323 W Pershing Road 104 Chicago, IL 60609",219900.0
1,1,800,"5445 N Sheridan Road 306 Chicago, IL 60640",204900.0
3,2,1085,"429 E 89th Street Chicago, IL 60619",199999.0
2,1,1000,"7932 S Pulaski Road 301E Chicago, IL 60652",147900.0
1,1,716,"128 W 115th Street Chicago, IL 60628",116999.0
2,2,1200,"7000 S East End Avenue 303 Chicago, IL 60649",95625.0
3,1,1200,"7843 S Langley Avenue Chicago, IL 60619",79000.0
3,1,1321,"1519 S 58th Avenue Cicero, IL 60804",319900.0
3,3,3650,"4602 N Springfield Avenue Chicago, IL 60625",1050000.0
3,3,3300,"4411 S Wallace Street Chicago, IL 60609",750000.0
3,3,1950,"4206 W BELMONT Avenue Chicago, IL 60641",745000.0
2,2,1850,"363 W Superior Street A Chicago, IL 60654",729990.0
4,3,2220,"2241 S Archer Avenue 4 Chicago, IL 60616",568000.0
2,2,1400,"2401 N Janssen Avenue 203 Chicago, IL 60614",549000.0
2,2,1200,"1529 W Montana Street 2 Chicago, IL 60614",525000.0
2,2,1182,"420 E Waterside Drive 1103 Chicago, IL 60601",515000.0
3,3,1704,"4828 N Newcastle Avenue Chicago, IL 60656",499000.0
2,2,1271,"400 N La Salle Drive 3002 Chicago, IL 60654",450000.0
2,2,1312,"125 E 13th Street 1213 Chicago, IL 60605",445000.0
2,2,1200,"401 E Ontario Street 809 Chicago, IL 60611",425000.0
2,1,1000,"33 W Ontario Street 33i Chicago, IL 60654",379900.0
6,3,2200,"732 E 104th Place Chicago, IL 60628",365000.0
1,1,800,"401 E ONTARIO Street 3207 Chicago, IL 60611",335000.0
4,1,1500,"1725 N Lawndale Avenue Chicago, IL 60647",319555.0
3,2,1300,"343 E 25TH Place 18C Chicago, IL 60616",319000.0
2,1,661,"1704 W Catalpa Avenue 2W Chicago, IL 60640",315000.0
